 * Serving Flask app 'app'
 * Debug mode: off
2024-12-26 01:32:53.355608  - Body:  nhietdo=31, doAm=83, coNguoi=true , response_message =  den=0, dieuhoa=0
2024-12-26 01:34:06.175507  - Body:  nhietdo=79, doAm=45, coNguoi=false , response_message =  den=1, dieuhoa=1
2024-12-26 01:34:08.473182  - Body:  nhietdo=41, doAm=62, coNguoi=false , response_message =  den=1, dieuhoa=1
2024-12-26 01:34:10.879711  - Body:  nhietdo=58, doAm=48, coNguoi=true , response_message =  den=1, dieuhoa=1
2024-12-26 01:34:13.004122  - Body:  nhietdo=30, doAm=1, coNguoi=true , response_message =  den=1, dieuhoa=1
2024-12-26 01:34:15.200215  - Body:  nhietdo=43, doAm=84, coNguoi=true , response_message =  den=1, dieuhoa=1
2024-12-26 01:34:17.347113  - Body:  nhietdo=7, doAm=52, coNguoi=true , response_message =  den=1, dieuhoa=1
2024-12-26 01:34:19.789687  - Body:  nhietdo=52, doAm=99, coNguoi=true , response_message =  den=1, dieuhoa=1
2024-12-26 01:34:21.957300  - Body:  nhietdo=1, doAm=76, coNguoi=false , response_message =  den=1, dieuhoa=1
2024-12-26 01:34:24.100945  - Body:  nhietdo=21, doAm=37, coNguoi=false , response_message =  den=1, dieuhoa=1
2024-12-26 01:34:26.230499  - Body:  nhietdo=5, doAm=82, coNguoi=true , response_message =  den=1, dieuhoa=1
2024-12-26 01:34:31.123169  - Body:  nhietdo=3, doAm=87, coNguoi=true , response_message =  den=1, dieuhoa=1
2024-12-26 01:34:33.330172  - Body:  nhietdo=10, doAm=31, coNguoi=true , response_message =  den=1, dieuhoa=1
2024-12-26 01:34:35.620509  - Body:  nhietdo=70, doAm=58, coNguoi=false , response_message =  den=1, dieuhoa=1
2024-12-26 01:34:37.819132  - Body:  nhietdo=-15, doAm=99, coNguoi=false , response_message =  den=1, dieuhoa=1
2024-12-26 01:34:39.940251  - Body:  nhietdo=27, doAm=66, coNguoi=true , response_message =  den=1, dieuhoa=1
2024-12-26 01:34:42.498417  - Body:  nhietdo=47, doAm=38, coNguoi=false , response_message =  den=1, dieuhoa=1
2024-12-26 01:34:44.838569  - Body:  nhietdo=-2, doAm=47, coNguoi=true , response_message =  den=1, dieuhoa=1
2024-12-26 01:34:47.053266  - Body:  nhietdo=38, doAm=83, coNguoi=true , response_message =  den=1, dieuhoa=1
2024-12-26 01:34:49.532605  - Body:  nhietdo=33, doAm=100, coNguoi=false , response_message =  den=1, dieuhoa=1
2024-12-26 01:34:51.742017  - Body:  nhietdo=36, doAm=10, coNguoi=false , response_message =  den=1, dieuhoa=1
2024-12-26 01:34:53.886983  - Body:  nhietdo=74, doAm=79, coNguoi=true , response_message =  den=1, dieuhoa=1
2024-12-26 01:34:56.339563  - Body:  nhietdo=16, doAm=68, coNguoi=false , response_message =  den=1, dieuhoa=1
2024-12-26 01:35:01.673517  - Body:  nhietdo=23, doAm=56, coNguoi=true , response_message =  den=1, dieuhoa=1
2024-12-26 01:35:04.073972  - Body:  nhietdo=12, doAm=34, coNguoi=false , response_message =  den=1, dieuhoa=1
2024-12-26 01:35:06.257892  - Body:  nhietdo=6, doAm=7, coNguoi=true , response_message =  den=1, dieuhoa=1
2024-12-26 01:35:08.406284  - Body:  nhietdo=-12, doAm=52, coNguoi=false , response_message =  den=1, dieuhoa=1
2024-12-26 01:35:10.648059  - Body:  nhietdo=72, doAm=94, coNguoi=false , response_message =  den=1, dieuhoa=1
2024-12-26 01:35:12.803573  - Body:  nhietdo=47, doAm=2, coNguoi=false , response_message =  den=1, dieuhoa=1
2024-12-26 01:35:18.104591  - Body:  nhietdo=78, doAm=19, coNguoi=false , response_message =  den=1, dieuhoa=1
2024-12-26 01:35:20.403983  - Body:  nhietdo=27, doAm=13, coNguoi=false , response_message =  den=1, dieuhoa=1
2024-12-26 01:35:22.592873  - Body:  nhietdo=12, doAm=33, coNguoi=true , response_message =  den=1, dieuhoa=1
2024-12-26 01:35:24.920611  - Body:  nhietdo=53, doAm=93, coNguoi=true , response_message =  den=1, dieuhoa=1
2024-12-26 01:35:27.036817  - Body:  nhietdo=76, doAm=51, coNguoi=true , response_message =  den=1, dieuhoa=1
2024-12-26 01:35:29.491682  - Body:  nhietdo=51, doAm=42, coNguoi=true , response_message =  den=1, dieuhoa=1
2024-12-26 01:35:31.871421  - Body:  nhietdo=41, doAm=26, coNguoi=false , response_message =  den=1, dieuhoa=1
2024-12-26 01:35:34.068536  - Body:  nhietdo=-13, doAm=79, coNguoi=true , response_message =  den=1, dieuhoa=1
2024-12-26 01:35:36.388514  - Body:  nhietdo=70, doAm=31, coNguoi=false , response_message =  den=1, dieuhoa=1
2024-12-26 01:35:41.088689  - Body:  nhietdo=12, doAm=82, coNguoi=false , response_message =  den=1, dieuhoa=1
2024-12-26 01:35:43.545517  - Body:  nhietdo=-19, doAm=91, coNguoi=true , response_message =  den=1, dieuhoa=1
2024-12-26 01:35:45.722900  - Body:  nhietdo=50, doAm=20, coNguoi=true , response_message =  den=1, dieuhoa=1
2024-12-26 01:35:47.859840  - Body:  nhietdo=80, doAm=81, coNguoi=true , response_message =  den=1, dieuhoa=1
2024-12-26 01:35:50.222195  - Body:  nhietdo=53, doAm=60, coNguoi=false , response_message =  den=1, dieuhoa=1
2024-12-26 01:35:52.572401  - Body:  nhietdo=56, doAm=76, coNguoi=true , response_message =  den=1, dieuhoa=1
2024-12-26 01:35:54.986339  - Body:  nhietdo=21, doAm=53, coNguoi=true , response_message =  den=1, dieuhoa=1
2024-12-26 01:35:57.205794  - Body:  nhietdo=65, doAm=37, coNguoi=true , response_message =  den=1, dieuhoa=1
2024-12-26 01:35:59.631352  - Body:  nhietdo=41, doAm=36, coNguoi=true , response_message =  den=1, dieuhoa=1
2024-12-26 01:36:01.754006  - Body:  nhietdo=62, doAm=53, coNguoi=true , response_message =  den=1, dieuhoa=1
2024-12-26 01:36:03.879704  - Body:  nhietdo=49, doAm=28, coNguoi=false , response_message =  den=1, dieuhoa=1
2024-12-26 01:36:06.360886  - Body:  nhietdo=51, doAm=8, coNguoi=false , response_message =  den=1, dieuhoa=1
2024-12-26 01:36:08.502658  - Body:  nhietdo=28, doAm=60, coNguoi=true , response_message =  den=1, dieuhoa=1
2024-12-26 01:36:10.725926  - Body:  nhietdo=76, doAm=36, coNguoi=true , response_message =  den=1, dieuhoa=1
2024-12-26 01:36:12.930819  - Body:  nhietdo=-6, doAm=26, coNguoi=false , response_message =  den=1, dieuhoa=1
2024-12-26 01:36:15.055836  - Body:  nhietdo=75, doAm=11, coNguoi=true , response_message =  den=1, dieuhoa=1
2024-12-26 01:36:17.256214  - Body:  nhietdo=23, doAm=12, coNguoi=true , response_message =  den=1, dieuhoa=1
2024-12-26 01:36:19.564929  - Body:  nhietdo=55, doAm=40, coNguoi=true , response_message =  den=1, dieuhoa=1
2024-12-26 01:36:22.004160  - Body:  nhietdo=-15, doAm=18, coNguoi=false , response_message =  den=1, dieuhoa=1
2024-12-26 01:36:24.185262  - Body:  nhietdo=6, doAm=99, coNguoi=true , response_message =  den=1, dieuhoa=1
2024-12-26 01:36:26.538920  - Body:  nhietdo=57, doAm=31, coNguoi=true , response_message =  den=1, dieuhoa=1
2024-12-26 01:36:28.968278  - Body:  nhietdo=45, doAm=23, coNguoi=true , response_message =  den=1, dieuhoa=1
2024-12-26 01:36:33.865718  - Body:  nhietdo=38, doAm=36, coNguoi=false , response_message =  den=1, dieuhoa=1
2024-12-26 01:36:36.053929  - Body:  nhietdo=64, doAm=88, coNguoi=false , response_message =  den=1, dieuhoa=1
2024-12-26 01:36:38.174701  - Body:  nhietdo=6, doAm=70, coNguoi=true , response_message =  den=1, dieuhoa=1
2024-12-26 01:36:40.347076  - Body:  nhietdo=51, doAm=7, coNguoi=true , response_message =  den=1, dieuhoa=1
2024-12-26 01:36:44.905505  - Body:  nhietdo=59, doAm=20, coNguoi=true , response_message =  den=1, dieuhoa=1
2024-12-26 01:36:47.166546  - Body:  nhietdo=-13, doAm=1, coNguoi=true , response_message =  den=1, dieuhoa=1
2024-12-26 01:36:49.506086  - Body:  nhietdo=44, doAm=97, coNguoi=true , response_message =  den=1, dieuhoa=1
2024-12-26 01:36:51.631573  - Body:  nhietdo=53, doAm=18, coNguoi=false , response_message =  den=1, dieuhoa=1
2024-12-26 01:36:54.236269  - Body:  nhietdo=28, doAm=44, coNguoi=false , response_message =  den=1, dieuhoa=1
2024-12-26 01:36:59.651011  - Body:  nhietdo=58, doAm=45, coNguoi=false , response_message =  den=1, dieuhoa=1
2024-12-26 01:37:01.882033  - Body:  nhietdo=6, doAm=5, coNguoi=false , response_message =  den=1, dieuhoa=1
